timestamp,open,high,low,close,volume
9/3/2001,102.81,108.4,97.9,99.29,46134500
16/3/2001,97.9,98.9,88.2,90.1,69318700
23/3/2001,91,94.99,87.65,93.51,56911400
30/3/2001,95.25,100,93.75,96.18,52337900
6/4/2001,97.45,100,90.05,97.95,61562900
12/4/2001,98.5,101.94,93.8,96.2,40874500
20/4/2001,96.2,116.4,95.2,114.83,77541600
27/4/2001,114.01,116.9,111.68,116.2,38874700
4/5/2001,116.4,118.95,111.2,115.86,40113600
11/5/2001,116.2,118.9,110.96,111.81,37758700
18/5/2001,111.2,117.68,111,117.44,32527500
25/5/2001,117.95,119.9,117.1,117.8,34172800
1/6/2001,117.35,117.59,111.64,112.89,27279700
8/6/2001,113.25,119,112.85,116.1,29113600
15/6/2001,116.3,118.47,113.38,113.6,39520000
22/6/2001,113.98,117.25,111.36,112.87,33926900
29/6/2001,113.75,116.95,111.1,113.5,35230300
6/7/2001,113.5,115.4,105.81,106.5,25362500
13/7/2001,106.5,109.3,101.56,108.53,45082800
20/7/2001,108.53,109.38,103.03,105.7,48299000
27/7/2001,105.7,106.95,102.73,104.7,32638300
3/8/2001,104.9,110.09,104.76,108.18,25049100
10/8/2001,107.25,107.37,102.7,104.95,26622100
17/8/2001,105,106.85,103.66,104.59,29688900
24/8/2001,104.68,107.8,101.4,106.99,33343800
31/8/2001,106.99,108.2,98.86,99.95,38331400
7/9/2001,100.15,103.13,96,96.59,41322600
10/9/2001,96,97.4,95.59,96.47,10311500
21/9/2001,93.9,96.85,89.5,90.5,75868900
28/9/2001,91.8,96,87.49,91.72,61809500
5/10/2001,91.72,98.88,91.34,98.02,46507700
12/10/2001,98.03,101,94.9,100.84,48258400
19/10/2001,99.85,106.7,99.66,102.65,63537500
26/10/2001,102.65,112.1,101.9,111.16,43172300
2/11/2001,110.5,111.12,106.9,109.5,37116500
9/11/2001,109.95,115.56,109,114.08,37385000
16/11/2001,113,117,112.05,114.5,36592100
23/11/2001,114.7,116.8,113.05,115.35,17282200
30/11/2001,115.9,116.4,111.81,115.59,29636100
7/12/2001,114.8,121.98,113.21,120.4,45132800
14/12/2001,120,123.21,119.41,121.1,36439000
21/12/2001,120.15,124.7,120.15,122,34859100
28/12/2001,122.05,123.93,121.1,122.9,13450200
4/1/2002,122.75,125.6,119.8,125.6,27402400
11/1/2002,125,126.39,120.28,120.31,31815400
18/1/2002,120,120.55,112.81,114.25,50634800
25/1/2002,114.25,114.26,107,109.28,38030400
1/2/2002,109.5,110.21,101,108,55992100
8/2/2002,108,108.5,102.61,104.99,35602600
15/2/2002,105,109.15,101.7,102.89,39939500
22/2/2002,101.5,101.8,95.76,98.45,48524400
1/3/2002,98.45,103.1,95.99,103.02,51947900
8/3/2002,103.35,107.5,103.13,105.09,47715500
15/3/2002,104.35,108.85,103.6,106.79,42307200
22/3/2002,107.1,108.64,104.7,105.6,25381100
28/3/2002,105.8,106.66,102.3,104,25371800
5/4/2002,104,104,97.25,97.25,36348600
