timestamp,open,high,low,close,volume
27/10/2023,143.62,144.7,141.71,142.52,5469227
30/10/2023,143.19,144.5,142.58,142.63,4204190
31/10/2023,143,144.76,142.59,144.64,6592041
1/11/2023,145,146.51,144.45,145.4,4750081
2/11/2023,145.77,147.1,144.84,147.01,3902657
3/11/2023,147.45,148.445,147.28,147.9,3510495
6/11/2023,147.89,149.225,147.85,148.97,4597249
7/11/2023,149.03,149.28,148.03,148.83,3549853
8/11/2023,149.25,149.68,147.585,148.03,3618588
9/11/2023,146.55,146.99,145.28,146.62,3412713
10/11/2023,147.44,149.17,146.85,149.02,3179541
13/11/2023,148.46,148.49,147.35,148.1,2647288
14/11/2023,149.45,150.8063,149.05,150.41,4321940
15/11/2023,150.4,153.22,150.4,152.58,4632519
16/11/2023,153,153.35,152.13,153.06,3519172
17/11/2023,153.29,153.5,152.4601,152.89,4426676
20/11/2023,152.51,154.68,152.35,154.35,3658936
21/11/2023,154.6,154.66,153.51,153.91,2859508
22/11/2023,154.5,155.705,154.16,155.13,3045091
24/11/2023,155.13,155.4,153.92,155.18,1799161
27/11/2023,154.99,156.135,154.75,155.57,4053093
28/11/2023,155.44,155.745,154.86,155.65,2666182
29/11/2023,156.15,157.51,156.02,156.41,3568887
30/11/2023,156.95,158.6,156.89,158.56,6740622
1/12/2023,158.41,160.59,158,160.55,4871860
4/12/2023,160.29,162.79,160.29,161.1,5779017
5/12/2023,160.76,162.47,160.72,161.39,4556668
6/12/2023,161.59,162.355,160.01,160.28,3356432
7/12/2023,161,161.465,159.97,160.22,3665498
8/12/2023,160,162.04,160,161.96,4561342
11/12/2023,162.68,163.65,161.95,163.51,6077207
12/12/2023,163.27,166.34,162.92,164.71,5292290
13/12/2023,164.37,164.9653,162.735,163.62,4989141
14/12/2023,162.93,163.499,160.149,162.91,6129804
15/12/2023,162.3,164.09,162.04,162.23,11016108
18/12/2023,162.23,163.33,161.5766,162.74,3677533
19/12/2023,161.8,162.28,161.32,161.56,3717429
20/12/2023,161.29,161.8,160.01,160.05,4865797
21/12/2023,160.59,161.08,159.53,160.78,2982924
22/12/2023,161.1,162.41,161,162.14,2442715
26/12/2023,162.23,163.31,162.05,163.21,1772443
27/12/2023,163.14,163.64,162.68,163.46,3006612
28/12/2023,163.96,163.96,163.4,163.75,2071313
29/12/2023,163.75,164.18,162.83,163.55,2526169
2/1/2024,162.83,163.29,160.46,161.5,3825044
3/1/2024,161,161.73,160.08,160.1,4086065
4/1/2024,160.22,161.81,160.17,160.86,3212004
5/1/2024,159.91,160.55,158.67,159.16,3698961
8/1/2024,158.69,161.216,157.885,161.14,3321698
9/1/2024,160,160.4837,159.51,160.08,2617186
10/1/2024,160.28,161.34,159.74,161.23,2967852
11/1/2024,161.02,162.23,160.29,162.16,3778395
12/1/2024,162.97,165.98,162.355,165.8,4958261
16/1/2024,165.8,167.25,165.34,166.96,4869635
17/1/2024,166.79,167.82,165.495,166.08,4288604
18/1/2024,166.49,166.99,165.04,166.84,3776990
19/1/2024,170.59,171.5791,169.18,171.48,6929079
22/1/2024,172.82,174.45,172.4,172.83,4925964
23/1/2024,172.9,174.02,172.48,173.94,3983461
24/1/2024,174.76,174.86,172.9,173.93,7831157
25/1/2024,184.96,196.9,184.83,190.43,29596239
26/1/2024,191.31,192.3896,186.16,187.42,9895941
29/1/2024,187.46,189.46,186.05,187.14,6107908
30/1/2024,187.71,188.65,186.77,187.87,4575058
31/1/2024,187.05,187.65,183.14,183.66,8876055
1/2/2024,183.63,187.51,182.71,186.9,4669444
2/2/2024,187.1,187.39,185.615,185.79,4055411
5/2/2024,185.51,185.78,183.255,183.42,4379602
6/2/2024,183.55,184.68,183.04,183.41,3338196
7/2/2024,183.34,184.02,182.625,183.74,4841188
8/2/2024,182.63,184.55,181.49,184.36,5161185
9/2/2024,184.44,187.18,183.85,186.34,5064641
12/2/2024,185.9,186.48,184.03,186.16,4724021
13/2/2024,184.28,184.77,182.36,183.7,4290453
14/2/2024,185,185,182.26,183.57,3173391
15/2/2024,183.62,186.98,183.62,186.87,4714301
16/2/2024,186.63,188.95,185.9452,187.64,4842840
20/2/2024,187.64,188.77,183.06,183.44,4247181
21/2/2024,182.56,183.03,178.75,179.7,4728473
22/2/2024,182.45,184.55,181.93,184.21,5078398
23/2/2024,184.9,186.455,184.57,185.72,3433800
26/2/2024,185.6,186.125,184.06,184.13,4620815
27/2/2024,184.16,185.13,182.62,184.87,3641378
28/2/2024,184.63,185.37,183.55,185.3,3216345
29/2/2024,186.15,186.8495,184.69,185.03,6458487
1/3/2024,185.49,188.38,185.18,188.2,4018354
4/3/2024,187.76,193.898,187.6,193.06,7938266
5/3/2024,192,193.94,190.57,191.95,5653641
6/3/2024,193.5,198.13,192.96,196.16,6945818
7/3/2024,197.58,198.73,196.14,196.54,4604458
8/3/2024,196.06,197.77,194.38,195.95,3943113
11/3/2024,195.09,195.38,190.88,191.73,4712688
12/3/2024,192.46,199.18,192.15,197.78,5862512
13/3/2024,197.55,198.1,195.32,196.7,3960737
14/3/2024,196.95,197.748,192.12,193.43,4102202
15/3/2024,191.99,193.0573,190.7,191.07,8828184
18/3/2024,191.7,193.23,190.32,191.69,5410562
19/3/2024,191.49,193.58,190.28,193.34,5317341
20/3/2024,192.87,193.98,191.31,193.96,3238643
21/3/2024,193,193.37,190.01,191.9,6013561
